elem_index,treatment,period_calendar,treatment_qty,treatment_comment,treatment_reason
22243,ac_resurf,2023,217,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18033_R1
22244,ac_resurf,2023,217,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18033_R2
22261,ac_resurf,2023,225.7,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18418_L1
22262,ac_resurf,2023,225.7,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18418_L2
22263,ac_resurf,2023,225.7,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18418_R1
22264,ac_resurf,2023,225.7,"UTA, function: R, on date: 2023-11-22",committed-16_3038_18418_R2
22277,ac_resurf,2023,222,"UTA, function: R, on date: 2023-11-23",committed-16_3038_18689_L1
22278,ac_resurf,2023,222,"UTA, function: R, on date: 2023-11-23",committed-16_3038_18689_L2
22279,ac_resurf,2023,222,"UTA, function: R, on date: 2023-11-23",committed-16_3038_18689_R1
22280,ac_resurf,2023,222,"UTA, function: R, on date: 2023-11-23",committed-16_3038_18689_R2
22295,ac_resurf,2023,214.6,"UTA, function: R, on date: 2023-11-23",committed-16_3038_19037_L1
22296,ac_resurf,2023,214.6,"UTA, function: R, on date: 2023-11-23",committed-16_3038_19037_L2
22307,ac_resurf,2023,524.4,"UTA, function: R, on date: 2023-03-16",committed-16_3039_19332_L1
22308,ac_resurf,2023,524.4,"UTA, function: R, on date: 2023-03-16",committed-16_3039_19332_L2
22343,ac_resurf,2023,3420,"UTA, function: R, on date: 2023-03-23",committed-16_3059_1500_All
22356,ac_resurf,2023,600,"UTA, function: R, on date: 2023-12-15",committed-16_3060_980_All
22358,ac_resurf,2023,890,"UTA, function: R, on date: 2023-06-16",committed-16_3060_1247_All
22377,cs_resurf,2023,910,"OGPA, function: R, on date: 2023-09-13",committed-16_3191_165_All
22443,ac_resurf,2023,450,"UTA, function: R, on date: 2023-12-12",committed-16_3277_13090_All
22445,cs_resurf,2023,7200,"OGPA, function: R, on date: 2023-06-26",committed-16_3277_13225_All
22471,cs_resurf,2023,3204,"OGPA, function: R, on date: 2023-07-04",committed-16_3279_13024_All
22476,cs_resurf,2023,1653,"OGPA, function: R, on date: 2023-11-27",committed-16_3279_14420_R1
22477,cs_resurf,2023,1653,"OGPA, function: R, on date: 2023-11-27",committed-16_3279_14420_R2
22482,ac_resurf,2023,728.5,"UTA, function: R, on date: 2023-11-20",committed-16_3280_0_All
22483,cs_resurf,2023,864.8,"OGPA, function: R, on date: 2023-11-16",committed-16_3281_36_All
22484,cs_resurf,2023,636.4,"OGPA, function: R, on date: 2023-09-25",committed-16_3282_0_All
22485,cs_resurf,2023,351,"OGPA, function: R, on date: 2023-09-25",committed-16_3283_0_All
22486,cs_resurf,2023,838.5,"OGPA, function: R, on date: 2023-09-25",committed-16_3283_90_All
22542,cs_resurf,2023,3507.5,"EPA, function: R, on date: 2022-12-12",committed-16_3563_0_L1
22543,cs_resurf,2023,3507.5,"EPA, function: R, on date: 2022-12-12",committed-16_3563_0_L2
22717,ac_resurf,2023,3300,"UTA, function: R, on date: 2023-11-20",committed-16_3580_2870_L1
22736,ac_resurf,2023,3300,"UTA, function: R, on date: 2023-11-14",committed-16_3582_2870_R1
22788,ac_resurf,2023,480,"UTA, function: R, on date: 2023-03-09",committed-16_3757_3210_All
22789,cs_resurf,2023,880,"OGPA, function: R, on date: 2023-11-28",committed-16_3757_3270_All
22790,cs_resurf,2023,1120,"OGPA, function: R, on date: 2023-11-28",committed-16_3757_3380_All
22791,cs_resurf,2023,816,"OGPA, function: R, on date: 2023-11-28",committed-16_3757_3520_All
22806,ac_resurf,2023,1162.5,"UTA, function: R, on date: 2023-03-20",committed-16_3974_1505_All
22808,ac_resurf,2023,525,"UTA, function: R, on date: 2023-05-22",committed-16_3974_1810_All
22813,ac_resurf,2023,1800,"UTA, function: R, on date: 2023-05-23",committed-16_3974_2330_All
22817,ac_resurf,2023,225,"UTA, function: R, on date: 2023-12-05",committed-16_3974_3450_L1
22818,ac_resurf,2023,225,"UTA, function: R, on date: 2023-12-05",committed-16_3974_3450_R1
22823,ac_resurf,2023,1950,"UTA, function: R, on date: 2023-12-06",committed-16_3974_4220_All
22826,ac_resurf,2023,600,"UTA, function: R, on date: 2023-03-23",committed-16_3974_4930_All
22829,cs_resurf,2023,865,"OGPA, function: R, on date: 2023-11-14",committed-16_3980_0_L1
22830,cs_resurf,2023,865,"OGPA, function: R, on date: 2023-11-14",committed-16_3980_0_L2
22837,cs_resurf,2023,1025,"OGPA, function: R, on date: 2023-11-14",committed-16_3980_2188_L1
22838,cs_resurf,2023,1025,"OGPA, function: R, on date: 2023-11-14",committed-16_3980_2188_L2
